max_features,n_estimators,min_samples_split,solver name,r2 score,rmse score
auto,20,1.0,lingeling,-0.004044510002915835,1.4193125087761433
auto,20,1.0,lrglshr,-0.00035530778542858243,1.5972668002500297
auto,20,1.0,minisatpsm,-0.003920313243707785,1.3536946839937343
auto,20,1.0,mphaseSAT64,-0.0031049901096913413,1.5605634912808577
auto,20,1.0,precosat,-0.0028834536654525067,1.5650752319080807
auto,20,1.0,qutersat,-0.004010012435433197,1.356758175756326
auto,20,1.0,rcl,-0.004123151928426605,1.3375462035953611
auto,20,1.0,restartsat,-0.003456186070478262,1.6165450871515095
auto,20,1.0,cryptominisat2011,-0.007481413879152354,1.531830657687553
auto,20,1.0,spear-sw,-0.0017402475424102004,1.5417118215980357
auto,20,1.0,spear-hw,-0.002731186997892321,1.4935370244482218
auto,20,1.0,eagleup,-0.0026681664733578803,1.2730990340556256
auto,20,1.0,sparrow,-6.431330270117996e-06,1.5171217563054447
auto,20,1.0,marchrw,-0.0003228406275028739,1.5086221126928958
auto,20,1.0,mphaseSATm,-0.0013346085441825473,1.5983352339943877
auto,20,1.0,satime11,-0.00014288315316179911,1.4322362766845993
auto,20,1.0,tnm,-4.7161036669240985e-06,1.3896396960643491
auto,20,1.0,mxc09,-0.0025182034407214005,1.5603063583666803
auto,20,1.0,gnoveltyp2,-0.001480951375626871,1.4559674910760811
auto,20,1.0,sattime,-7.774579935349024e-05,1.4450412339417527
auto,20,1.0,sattimep,-0.00026427030751952074,1.4039532133768362
auto,20,1.0,clasp2,-0.0027250312656115216,1.472629559000797
auto,20,1.0,clasp1,-0.00153561220680265,1.4524501380435015
auto,20,1.0,picosat,-0.002091266375649159,1.7122136801162084
auto,20,1.0,mphaseSAT,-0.0038111539939220673,1.5961481419629644
auto,20,1.0,sapperlot,-0.00046135630718957543,1.5686168842360728
auto,20,1.0,sol,-1.319249979325754e-05,1.2714496038488015
auto,20,2,ebglucose,0.6002446442423186,0.7915632905266682
auto,20,2,ebminisat,0.6433503974617657,0.9671647461174638
auto,20,2,glucose2,0.6295852887584679,0.7796472893475556
auto,20,2,glueminisat,0.6799088091612834,0.9084020998066794
auto,20,2,lingeling,0.6166740024029469,0.8769719137940553
auto,20,2,lrglshr,0.6432785504521434,0.9538167316064371
auto,20,2,minisatpsm,0.6434909754073838,0.8066894301130476
auto,20,2,mphaseSAT64,0.6700770713458695,0.8949824032642775
auto,20,2,precosat,0.5766961431990261,1.0168013127851698
auto,20,2,qutersat,0.602190008303976,0.8540263467283759
auto,20,2,rcl,0.6100915626788919,0.8334827562722674
auto,20,2,restartsat,0.6271884936655738,0.9853335457819927
auto,20,2,cryptominisat2011,0.5920970929552649,0.9746992589587858
auto,20,2,spear-sw,0.6945438842104625,0.8513341473342563
auto,20,2,spear-hw,0.6467714794728792,0.8864446290769519
auto,20,2,eagleup,0.6946074740269251,0.7026074933950801
auto,20,2,sparrow,0.7096067619883918,0.8175461722741668
auto,20,2,marchrw,0.7402224639612409,0.7687961027526774
auto,20,2,mphaseSATm,0.7063257846887201,0.8655878831702714
auto,20,2,satime11,0.6269894894765676,0.8746698968442252
auto,20,2,tnm,0.6499195086962838,0.8222145207198928
auto,20,2,mxc09,0.6001069893416784,0.9854523999187786
auto,20,2,gnoveltyp2,0.66487811745499,0.8422319746293717
auto,20,2,sattime,0.6329326471586626,0.8754598593380223
